Source,Date,Obsolescence Date,Business Name,Legal Name,Physical Address,Physical Address Number,Physical Pre Direction,Physical Address Name,Physical Address Suffix,Physical Post Direction,Physical City,Physical State,Physical ZIP,Physical ZIP 4,Key Executive Name,First Name,Middle Initial,Last Name,Title,Gender,Location Employee Size,Corporate Employee Size,Revenue / Yr,Mailing Address,Mailing Address Number,Mailing Pre Direction,Mailing Address Name,Mailing Address Suffix,Mailing Post Direction,Mailing City,Mailing State,Mailing ZIP,Mailing ZIP 4,Phone,Fax,Toll-Free,County Name,County Population,Metro Area,Latitude,Longitude,EIN,Main Line of Business,Location Type,Importer or Exporter,Manufacturer,Primary SIC,Primary SIC Description,SIC02,SIC02.Description,SIC03,SIC03.Description,SIC04,SIC04.Description,SIC05,SIC05.Description,SIC06,SIC06.Description,SIC07,SIC07.Description,SIC08,SIC08.Description,SIC09,SIC09.Description,SIC10,SIC10.Description,NAICS 1,NAICS 1 Description,NAICS 2,NAICS 2 Description,NAICS 3,NAICS 3 Description,NAICS 4,NAICS 4 Description,NAICS 5,NAICS 5 Description,NAICS 6,NAICS 6 Description,NAICS 7,NAICS 7 Description,NAICS 8,NAICS 8 Description,NAICS 9,NAICS 9 Description,NAICS 10,NAICS 10 Description,Non-Profit,Number of PCs,Public / Private,Small Business,Square Footage,Website,Women Owned,Year Established,Ticker Symbol,Stock Exchange,Fortune 1000 Ranking,Credit Score,2021 Revenue/Yr,2020 Revenue/Yr,2019 Revenue/Yr,2018 Revenue/Yr,2020 % Sales Growth,2019 % Sales Growth,2018 % Sales Growth,2021 Employees,2020 Employees,2019 Employees,2018 Employees,2020 % Employee Growth,2019 % Employee Growth,2018 % Employee Growth,Executive First Name 1,Executive Last Name 1,Executive Title 1,Executive Gender 1,Executive Department 1,Executive First Name 2,Executive Last Name 2,Executive Title 2,Executive Gender 2,Executive Department 2,Executive First Name 3,Executive Last Name 3,Executive Title 3,Executive Gender 3,Executive Department 3,Executive First Name 4,Executive Last Name 4,Executive Title 4,Executive Gender 4,Executive Department 4,Executive First Name 5,Executive Last Name 5,Executive Title 5,Executive Gender 5,Executive Department 5,Executive First Name 6,Executive Last Name 6,Executive Title 6,Executive Gender 6,Executive Department 6,Executive First Name 7,Executive Last Name 7,Executive Title 7,Executive Gender 7,Executive Department 7,Executive First Name 8,Executive Last Name 8,Executive Title 8,Executive Gender 8,Executive Department 8,Executive First Name 9,Executive Last Name 9,Executive Title 9,Executive Gender 9,Executive Department 9,Executive First Name 10,Executive Last Name 10,Executive Title 10,Executive Gender 10,Executive Department 10,Executive First Name 11,Executive Last Name 11,Executive Title 11,Executive Gender 11,Executive Department 11,Executive First Name 12,Executive Last Name 12,Executive Title 12,Executive Gender 12,Executive Department 12,Executive First Name 13,Executive Last Name 13,Executive Title 13,Executive Gender 13,Executive Department 13,Executive First Name 14,Executive Last Name 14,Executive Title 14,Executive Gender 14,Executive Department 14,Executive First Name 15,Executive Last Name 15,Executive Title 15,Executive Gender 15,Executive Department 15,Executive First Name 16,Executive Last Name 16,Executive Title 16,Executive Gender 16,Executive Department 16,Executive First Name 17,Executive Last Name 17,Executive Title 17,Executive Gender 17,Executive Department 17,Executive First Name 18,Executive Last Name 18,Executive Title 18,Executive Gender 18,Executive Department 18,Executive First Name 19,Executive Last Name 19,Executive Title 19,Executive Gender 19,Executive Department 19,Executive First Name 20,Executive Last Name 20,Executive Title 20,Executive Gender 20,Executive Department 20,Est. Accounting Annual Expense,Est. Advertising Annual Expense,Est. Business Insurance Annual Expense,Est. Legal Annual Expense,Est. Office Equipment Annual Expense,Est. Rent Annual Expense,Est. Technology Annual Expense,Est. Telecom Annual Expense,Est. Utilities Annual Expense,AtoZ ID,Home Based Business,Franchise Type,Holding Parent Name,Source 
AtoZDatabases,2/22/2023,8/22/2023,Texas Agriculture Department Nutri,,96 Crossroads Blvd Ste 204,96,,Crossroads,Blvd,,San Antonio,TX,78201,6523, ,,,,,,10,,"$842,000 ",96 Crossroads Blvd Ste 204,96,,Crossroads,Blvd,,San Antonio,TX,78201,6523,(210) 732-9300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.4892713,-98.5488282,,Social Services & Welfare Organizations,,,No,8322064,Social Services & Welfare Organizations,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,10 to 24,Private,Yes,"1,000 to 4,999",www.texasagriculture.gov,No,2013,,,,0,828000,664546,664546,598091,25,0,11,10,10,10,9,0,0,11,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$10,000 to $24,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Lifetime Recovery Outpatient,,96 Crossroads Blvd Ste 200A,96,,Crossroads,Blvd,,San Antonio,TX,78201,6551,Joyce Cantu,Joyce,,Cantu,Executive Officer,Female,9,,"$682,000 ",96 Crossroads Blvd Ste 200A,96,,Crossroads,Blvd,,San Antonio,TX,78201,6551,(210) 734-6362,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.4892713,-98.5488282,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,10 to 24,Private,Yes,"1,000 to 4,999",www.lifetimerecoverytx.org,No,2019,,,,0,670000,703500,745710,0,-5,-6,0,9,9,9,,0,0,0,Joyce,Cantu,Executive Officer,Female,Marketing & Advertising,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$5,000 to $9,999","$10,000 to $24,999","$5,000 to $9,999","$5,000 to $9,999","$7,500 to $19,999",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Sonya Rose Llc,,924 W Agarita Ave,924,W,Agarita,Ave,,San Antonio,TX,78201,5601, ,,,,,,13,,"$949,000 ",924 W Agarita Ave,924,W,Agarita,Ave,,San Antonio,TX,78201,5601,(210) 213-3501,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.457429,-98.50887,,Individual & Family Social Services,,,No,8322001,Individual & Family Social Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,25 to 99,Private,Yes,"1,000 to 4,999",,No,2021,,,,0,931000,0,0,0,0,0,0,13,,,,0,0,0,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$5,000 to $9,999","$7,500 to $19,999",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Nicholas A Hollopeter,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903, ,,,,,,19,,"$873,000 ",903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 358-3190,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Individual & Family Social Services,,,No,8322001,Individual & Family Social Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,25 to 99,Private,Yes,"1,000 to 4,999",,No,2019,,,,0,857000,874140,882881,0,-2,-1,0,19,18,19,,6,-5,0,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$7,500 to $19,999",,"$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$10,000 to $24,999","$7,500 to $19,999",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Professional Group,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903, ,,,,,,7,,"$253,000 ",903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,10 to 24,Private,Yes,"1,000 to 4,999",,No,2020,,,,0,253000,0,0,0,0,0,0,7,,,,0,0,0,,,,,,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,"$5,000 to $24,999",,"$2,500 to $7,499",,"$5,000 to $9,999","$5,000 to $9,999","$5,000 to $9,999","$2,000 to $4,999","$2,500 to $7,499",1.114E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Mary Lou Cortinas,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,Mary Cortinas,Mary,,Cortinas,Other Contacts,Female,1,,"$84,000 ",903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 358-3659,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Social Workers,,,No,8322011,Social Workers,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,2013,,,,0,84000,0,0,0,0,0,0,1,,,,0,0,0,Mary,Cortinas,Other Contacts,Female,Administration & Operations,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Up to $999,,"Up to $2,499",,"Up to $1,999","Up to $2,499","Up to $2,499","Up to $1,999","Up to $2,499",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Jo Marie Aguilar,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,Jo Aguilar,Jo,,Aguilar,Other Contacts,Female,1,,"$84,000 ",903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 358-3620,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Social Workers,,,No,8322011,Social Workers,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,2013,,,,0,84000,0,0,0,0,0,0,1,,,,0,0,0,Jo,Aguilar,Other Contacts,Female,Administration & Operations,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Up to $999,,"Up to $2,499",,"Up to $1,999","Up to $2,499","Up to $2,499","Up to $1,999","Up to $2,499",1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Steven Gengenbacher,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,Steven Gengenbacher,Steven,,Gengenbacher,Professional,Male,,,N/A,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,2013,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,Steven,Gengenbacher,Professional,Male,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,Rosendo Garza,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,Rosendo Garza,Rosendo,,Garza,Professional,Male,,,N/A,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,2013,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,Rosendo,Garza,Professional,Male,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
AtoZDatabases,2/22/2023,8/22/2023,David S Sanchez,,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,David Sanchez,David,,Sanchez,Professional,Male,,,N/A,903 W Martin St,903,W,Martin,St,,San Antonio,TX,78207,903,(210) 731-1300,N/A,N/A,Bexar,"500,000 or more","San Antonio-New Braunfels, TX",29.43008713,-98.501565,,Counselors & Counseling Services,,,No,8322002,Counselors & Counseling Services,,,,,,,,,,,,,,,,,,,624190,Other Individual and Family Services,,,,,,,,,,,,,,,,,,,No,Up to 4,Private,No,Up to 999,,No,2013,,,,0,0,0,0,0,0,0,0,,,,,0,0,0,David,Sanchez,Professional,Male,Education,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,,,,,NA,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,Professional,1.11325E+13,No,,,AtoZDatabases
